title,department,subtier,office,type_name,solicitation_number,publish_date,response_date,is_active,set_aside,description,sam_url,awardee_name,award_amount
Fabrication and A/V Integration Services for LOCal Experience at Cleveland Public Library,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV26R0025,2026-03-18,2026-04-06,Active,,"3/18/26: Issued amnedment 2 to the solicitation. See 030ADV26R0025 0002 and the updated attachment J7 in the Attachments / Links section. 3/10/2026: Issued amendment 1 to the solicitation. See 030ADV26R0025 0001, attachment",https://sam.gov/opp/ef4b74c2cb1548bbb022d30f0a7f95e3/view,,
Notice of Intent to Sole Source -Bruker AmaZon MS Service Support Agreement,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Special Notice,2026-LGD-0060,2026-03-18,2026-04-02,Active,,"This is a public notice prepared in accordance with Federal Acquisition Regulation (FAR) 5.2 – Synopsis of Proposed Contract Actions. The Library of Congress, Contracts and Grants Directorate, intends to award a sole-source firm fixe",https://sam.gov/opp/8988da7b500749439d8f6b9684e16a1b/view,,
Laurel Fulfillment Services,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Special Notice,040ADV-26-R-0017-004,2026-03-18,2026-04-02,Active,,The purpose of this document is to extend the proposal page count limit from 75 pages to 100 pages.,https://sam.gov/opp/08b02648ea77422d9edd4a1fbe4f57fe/view,,
Government Publishing Office FM Modernization / Construction,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Special Notice,040ADV-26-R-0013-0002,2026-03-18,2026-03-30,Active,,This is the second amendment for the original notice of GPO's FM Modernization construction (040ADV-26-R-0013). This second and final amendment adds a question and response to the Q&A document and extends the proposal due date to 30 March,https://sam.gov/opp/0b0ef1e7fd934fd390e61d1ccf7989d3/view,,
Veterans History Project Anniversary Film,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV26Q0054,2026-03-17,2026-03-24,Active,,"Amendment 0002 provides the following: 1. A revised version of Attachment J3, the Q&A, which provides a revised response to questions 31 and 122. 2. A revised version of Section L, Past Performance which clarifies that offerors",https://sam.gov/opp/084b04b4f786437d87a59c34f1ff5646/view,,
Laurel Fulfillment Services,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Special Notice,040ADV-26-R-0017-003,2026-03-17,2026-04-02,Active,,"The purpose of this document is to respond to questions posed by potential offerers, attach supporting documents (Site Visit List, Sample Sign-in Sheet), provide a revised SOW and solicitation language, and the wage determinations. Thi",https://sam.gov/opp/ef03bc86eeea4292ab3f09b57927e083/view,,
Painting Frame Fabrication Services,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Solicitation,030ADV26Q0046,2026-03-16,2026-02-26,Inactive,,"The Library of Congress (LOC) Exhibits Office (EO) seeks a highly experienced museum exhibition Framer to create custom, conservation grade frames, acrylic glazing, and support components as needed, for paintings on canvas. Contractor must also fi",https://sam.gov/opp/66a7bad346a2498185e061b32ae2deaf/view,,
Disbursement Transaction Statements (DTS) Forms and IRS Information Returns.,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,5516s,2026-03-16,2026-03-25,Active,,"These specifications cover the production of the design & development of the Disbursement Transaction Statements (DTSs) printed, folded (or flat), & inserted into printed envelopes; and multiple different IRS Information Return",https://sam.gov/opp/372e8e3aef274c8cbe0e3ba77bec5d41/view,,
Library of Congress - Food Vending and Micro Market Services,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV26R0024,2026-03-16,2026-03-18,Active,,The purpose of Amendment 0002 is to: (1) Extend the due date for proposals; and (2) Advise vendors that multiple awards may be made as a result of this solicitation. (End of Amendment 0002). __________________,https://sam.gov/opp/ade2b8a2c3a240a39f4ae1a462cbf7d4/view,,
FY’26 SY27 2HSJ – FLAG CONTROL PACKAGE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,460-422,2026-03-16,2026-03-20,Active,,"A direct mail package consisting of Pictorial Window Envelope, Folded Insert and 2 versions of reply cards, printing 4- color process, Pantone 187C, Pantone 296C, Pantone 134C plus overall aqueous gloss varnish, see description.",https://sam.gov/opp/86dda32d4c1a4b80b0a8d3d8a49ed058/view,,
"Conservation and Stabilization of the Plaster and Decorative Paint at the President’s Room Ceiling, United States Capitol Building",ARCHITECT OF THE CAPITOL,ARCHITECT OF THE CAPITOL,ACQUISITION & MATERIAL MAN. DIV.,Solicitation,AOCSSB26R0023,2026-03-16,2026-04-20,Active,,"The Architect of the Capitol (AOC); Supplies, Services, and Material Management Division (SSMMD) is issuing Request for Proposal (RFP) # AOCSSB26R0023 for Conservation and Stabilization of the Plaster and Decorative Paint at the President’s",https://sam.gov/opp/e4518949f76d4fb3bb63ab8728dd1297/view,,
"Conservation and Stabilization of the Plaster and Decorative Paint at the President’s Room Ceiling, United States Capitol Building",ARCHITECT OF THE CAPITOL,ARCHITECT OF THE CAPITOL,ACQUISITION & MATERIAL MAN. DIV.,Presolicitation,AOCSSB26R0023,2026-03-16,2026-03-16,Active,,THIS IS A PRE-SOLICITATION NOTICE ONLY. THIS IS NOT A REQUEST FOR PROPOSAL. The Architect of the Capitol (AOC) is issuing this pre-solicitation notice to advise industry of the upcoming procurement of professional conserva,https://sam.gov/opp/b4282f3c29f4458682f48414e8bd4d73/view,,
FY’26 SY27 2HSJ – BRING YOUR FIGHT Test Self-Mailer,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,FY26SY272HSJBRINGYOURFIGHTTestSelfMailer460421,2026-03-16,2026-03-18,Active,,"Specifications cover the production of 560,000 self-mailers, Quality Level 1, self-mailer packages requiring such operations as electronic prepress, proofing, printing, and delivery. All parts print 4CP plus 2 Pantone colors and coatings. Procurem",https://sam.gov/opp/1f00fe60a9c848289fab85c231c9175f/view,,
U.S. Senate Hair Care Point-of-Sale System,"SENATE, THE",THE UNITED STATES SENATE SERGEANT AT ARMS,SENATE SERGEANT AT ARMS,Solicitation,2026-R-007,2026-03-13,2026-03-20,Active,,"**SUBMISSION DEADLINE EXTENDED TO MARCH 20, 2026** The United States Senate, Office of the Sergeant at Arms (SAA) seeks hair care point-of-sale system. Request for Quotation (RFQ) 2026-R-007 Hair Care Point-of-Sale",https://sam.gov/opp/d7e2372b7e904c00a73deab92ed5736a/view,,
Pipeline Leadership and Development Training,"SENATE, THE",THE UNITED STATES SENATE SERGEANT AT ARMS,SENATE SERGEANT AT ARMS,Solicitation,2026-R-035,2026-03-13,2026-04-01,Active,,"Amendment 001 - The purpose of this amendment is to incorporate SECTION E – EVALUATION, INSPECTION AND ACCEPTANCE into the solictitaion and update the Past Performance Questionnaire. The United States Senate Sergeant at A",https://sam.gov/opp/d07b57b2032a4f77b0a08c7646f76f29/view,,
Section 508 Compliant PDF Files,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,1561SProgram,2026-03-12,2026-03-24,Active,,"These specifications cover the assessment and remediation of PDF files (Adobe LiveCycle Designer, native PDF files, and scanned PDF files) that are untagged or tagged which require such operations as electronic transmission of files, OCR scanning",https://sam.gov/opp/599d963d3f6c4b169a4234ebe314a04e/view,,
Third Party Support for Servers and FC Switches,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,2026-CIO-0119,2026-03-11,2026-03-23,Active,,"Amendment 0001: The purpose of this amendment is to update section C and L of the solicitation and extend the due date for submission to March 23, 2026 at 12:00 PM EDT. The Library of Congress (Library) requires a Support/Maintenance servi",https://sam.gov/opp/7c729db60c504b5ca79fd2cb83eb4439/view,,
IT Operational Support Services IDIQ,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Solicitation,2026-CIO-0044,2026-03-11,2026-03-27,Active,,Amendment 0001: The purpose of this amendment is to extend the submission deadline for Phase One to 01/05/2026 at 12:00 PM EST. Amendment 0002: The purpose of this amendment is to provide answers to questions received in response to t,https://sam.gov/opp/5834d4e970fb446d84dbe765bd4b9075/view,,
Universal Easy Lock Binder,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,647-644,2026-03-11,2026-03-23,Active,,"Printing: Outside front panel has 18 type lines and one heavy rule in solid PMS 873C Gold. Inside panel has ""How to Operate ... "" Instructions centered all ways, printing in PMS 873C Gold. Back cover has two lines of type matter printing",https://sam.gov/opp/cfdea7b5fcba442cbc75dc0b8a6b79f8/view,,
National Archives and Records Administration (NARA) 4TH FLOOR Renovation Project,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Solicitation,040ADV-26-R-0016,2026-03-11,2026-05-12,Active,,The Agency Support Operations Business Unit for the Government Publishing Office (GPO) requires the construction and renovation of the National Archives and Records Administration (NARA) office occupying partial space on the 4th floor of Building,https://sam.gov/opp/02b51ad821904b13966cad24cb247dd5/view,,
U.S. Senate Cisco Hardware Procurement,"SENATE, THE",THE UNITED STATES SENATE SERGEANT AT ARMS,SENATE SERGEANT AT ARMS,Special Notice,2026-R-036,2026-03-10,2026-03-20,Active,,Please review and complete the attachments to ensure your submission for the U.S. Senate Cisco Hardware Procurement.,https://sam.gov/opp/6526e9d629214ddb8220a341892a78ae/view,,
Mass Deacidifcation Service for FY26,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Award Notice,2026-LGD-0016,2026-03-10,,Active,,A sole source award was made to the business herein. The J&A was publically posted via a separate special notice.,https://sam.gov/opp/bffc5fe7725149f6ba684837e8bb8d36/view,Preservation Technology,
Fabrication and A/V Integration Services for LOCal Experience at Cleveland Public Library,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV26R0025,2026-03-10,2026-04-06,Active,,"3/10/2026: Issued amendment 1 to the solicitation. See&nbsp;030ADV26R0025 0001, attachment J7, and revised attachment J4 in the Attachments / Links section. This is a firm-fixed price contract for design and fabrication services over a one",https://sam.gov/opp/ff523813f65647ec81fc87da98761c8b/view,,
U.S. House of Representatives’ Members’ Dining Room,"HOUSE OF REPRESENTATIVES, THE","HOUSE OF REPRESENTATIVES, THE",OFFICE OF ACQUISITIONS MANAGEMENT,Sources Sought,OAM26017S,2026-03-10,2026-03-23,Active,,"The U.S. House of Representatives is conducting market research to identify qualified industry sources with experience in high-level, secure, and protocol-driven dining and hospitality operations to inform future planning for the House Members&rsq",https://sam.gov/opp/606878382b9849f2a40ef84b27ed010a/view,,
Library of Congress - Davinci System Replacement,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV26Q0058,2026-03-09,2026-03-13,Active,,"Amendment 1 - The purpose of this amendment is to extend the solicitation period by seven (7) days, with proposals now due by 15:00 EDT on March 13, 2026. _____________________________________________ This is a combined s",https://sam.gov/opp/a64563d83259440e981bc589cbbf8c7c/view,,
FEDLINK Books & Non-Print Materials and Related Support Solicitation,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS FEDLINK,Solicitation,LCFDL26R0007,2026-03-09,2026-03-12,Active,,"Amendment 0003 posted on March 9, 2026 shares Questions and Answers 3. Amendment 0002 posted on March 9, 2026 shares Questions and Answers 2. Amendment 0001 poste",https://sam.gov/opp/eef70d5394fb4eb8a1aa2127daed6f8a/view,,
Government Publishing Office FM Modernization / Construction,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Special Notice,040ADV-26-R-0013-0001,2026-03-09,2026-03-23,Active,,"This is an amendment to the original solicitation posting (040ADV-26-R-0013). This amendment adds the responses to the Q&A portion of the solicitation, and adds the site visit sign-in attendance sheet, a Past Performance Questionnaire, and the",https://sam.gov/opp/4a74b2a89a074a05a5d2d78439e0667f/view,,
Fabrication and Installation of Exhibit Components and Graphics,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Solicitation,030ADV26R0023,2026-03-06,2026-04-02,Active,,"In September of 2026, the Library of Congress will open the Alive in Many Hands exhibition, in the SW Curtain Gallery of the Library’s Thomas Jefferson Building, to give annual onsite visitors a better sense of what the Library is, what it c",https://sam.gov/opp/b1f33bb85b6846d482665e08d9b8a3a3/view,,
Government Publishing Office -- Annual Fire Preventative Maintenance,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Solicitation,040ADV-26-R-0021,2026-03-05,2026-04-20,Active,,The Government Publishing Office has a need for an annual fire preventative inspection and testing service. See attached solicitation and accompanying documents for details. Any follow-on amendments will be issued under a seperate/related notice u,https://sam.gov/opp/b500134b5b404e46a0bbb3026e6baaf9/view,,
"Elevator, Escalator and Accessible Lifts Maintenance, Repair, Inspection, and Modernization Services IDIQ",ARCHITECT OF THE CAPITOL,ARCHITECT OF THE CAPITOL,ACQUISITION & MATERIAL MAN. DIV.,Sources Sought,ElevatorRFIMarch2026,2026-03-05,2026-04-01,Active,,This sources sought synopsis is issued solely for information and planning purposes to gain knowledge of potential sources capable of fully satisfying a potential requirement. This is not a solicitation announcement nor does it promise a sol,https://sam.gov/opp/421d40b72609422f8bc7ed7bb120b895/view,,
Section 508 Compliant Files,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,Section508CompliantFiles1075S(2026),2026-03-04,2026-03-17,Active,,"These specifications cover the production of assessing and remediating files to bring them into compliance with 29 USC Section 508; including providing a text equivalent for every non-text element via “alt” tags, “longdesc”",https://sam.gov/opp/1100b503249c417793454e47570045fa/view,,
Smiths Detection - Maintenance and Repair,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Justification,2026-OSE-0029,2026-03-04,,Active,,"This is a public notice prepared in accordance with Federal Acquisition Regulation (FAR) 5.2 – Synopsis of Proposed Contract Actions. The Library of Congress, Contracts and Grants Directorate, intends to award a sole-source, firm fixed price",https://sam.gov/opp/f19815836a754c15805e6edfe096dddc/view,,
Campuswide Scrap Metal Recycling Services,ARCHITECT OF THE CAPITOL,ARCHITECT OF THE CAPITOL,ACQUISITION & MATERIAL MAN. DIV.,Solicitation,AOCSSB26R0007,2026-03-03,2026-03-31,Active,,The contractor will collect and recycle scrap metal from Architect of the Capitol (AOC) locations in a responsible and environmentally sound manner. The Architect of the Capitol has need to collect scrap metal at all their facilities from demoliti,https://sam.gov/opp/8ceadd4d9e934c7882050776472ead97/view,,
Library of Congress - Baton System Replacement,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,2026-LGR-0010,2026-03-03,2026-03-13,Active,,"Amendment 1 - The purpose this amendment is answer submitted questions by potential offerors. ----------------------------------------------------- The Library of Congress seeks a contractor to provide server hardware, install",https://sam.gov/opp/b131f7f02a36444cb6ce8621a979649a/view,,
GPO Building B Garage Roof and Skylight Replacement,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Special Notice,040ADV-26-R-0003-C0003,2026-03-03,2026-03-24,Inactive,,The purpose of this amendment is to announce the cancelation of solicitation 040ADV-26-R-0003.,https://sam.gov/opp/51dcacf369984a8993e86378dca4846f/view,,
IRS Employee Recognition Program Items (A-1)(A-2)(A-3),UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Award Notice,IRSEmployeeRecognitionProgramItems4954S(2026),2026-03-03,,Inactive,,This is the award information for Program 4954S.,https://sam.gov/opp/cb9f3140be1b4f59918ced526fc750a0/view,"STRAUB CORPORATION, THE",
eCCB Hosting and Licenses,LIBRARY OF CONGRESS,,,Special Notice,2026-COP-0012,2026-03-02,2026-03-20,Active,,THIS IS A NOTICE OF INTENT TO AWARD A SOLE SOURCE AND NOT A REQUESTFOR QUOTATIONS This notice is published in accordance with Federal Acquisition Regulation (FAR)5.203(a)) requiring the dissemination of information regardi,https://sam.gov/opp/7f08425ffcb742a683e92b68c14d7894/view,,
"Inspecting, Cleaning, and CIPP Rehabilitation of Under-Slab Sanitary Sewer Pipelines in the Building D Basement",UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Solicitation,040ADV-26-R-0019,2026-02-27,2026-04-17,Active,,"The Government Publishing Office is seeking a contractor capable of removing blockages, rehabilitating approximately 510 linear feet of 3”–4” cast iron sanitary sewer pipes using the Cured-In-Place Pipe (CIPP) lining method, and",https://sam.gov/opp/a011f45b62694018a03f0a9668bcc780/view,,
Social Security Cards - Form SSA-3000 (A-1),UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,SocialSecurityCards-FormSSA-3000-831S-R-1(2026),2026-02-27,2026-03-04,Active,,"The specifications cover the production of one-part, marginally punched continuous forms requiring such operations as electronic prepress, composition, printing in multiple colors (including intaglio printing), construction, punching, packing, and",https://sam.gov/opp/57b9cb2119b54476abd029b8d1391407/view,,
Laurel Fulfillment Services,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Special Notice,040ADV-26-R-0017-002,2026-02-27,2026-03-27,Active,,"Summary of Changes: The purposes of this solicitation amendment are to add a new key personnel labor category and to update the number of the full-time equivalents for key and non-key personnel, as annotated in red text in the attached SOW revisio",https://sam.gov/opp/5aba37e6b6d14a81b4af0125ecbd294f/view,,
Laurel Fulfillment Services,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Special Notice,040ADV-26-R-0017-001,2026-02-27,2026-03-27,Active,,Summary of Changes: The purpose of this document is to address an error in the solicitation. The correct emails for Contract Specialist Michaela Farmer and Point of Contact Robert Mitchell are: mfarmer@gpo.gov and remitchell@gpo.gov. ,https://sam.gov/opp/d8b41163d6b44e7ca5b4907453ffaf88/view,,
Laurel Fulfillment Services,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Solicitation,040ADV-26-R-0017,2026-02-27,2026-03-27,Active,,"The United States Government Publishing Office (GPO) Laurel Warehouse is located at 8660 Cherry Lane, Suite #32 Laurel, MD 20707. This requirement encompasses end-to-end order fulfillment and support services, including: warehouse and distribution",https://sam.gov/opp/b54cb4daaaf248d8b2d2cca537eb8a0d/view,,
US GPO-QCIM Room Renovation,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Solicitation,040ADV-26-R-0012,2026-02-26,2026-04-17,Active,,This solicitation seeks a qualified firm to design and renovate space on the 5th floor of the US Government Publishing Office-Building B to support the establishment of a new adhesive mixing area and a secured storage rooms.,https://sam.gov/opp/4b4baf9916494b7b811387c85bfcda19/view,,
Web Harvesting Services - Library of Congress,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV26R0010,2026-02-25,2026-03-03,Active,,"Amendment 7 - The purpose of this solicitation amendment is to clarify that offerors’ Past Performance Questionnaires (Attachment J3) are due at noon on March 3, 2026. The PPQ previously stated a due date of February 24, 2026, b",https://sam.gov/opp/6d445fc7687044598475d9c7b4964120/view,,
Modification of 2 existing Lipsner Smith model CF8200P cleaning machines  to enable usage of HFE (Hydrofluoroether) film cleaning solvent,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Special Notice,2026-LGR-0172,2026-02-25,2026-03-11,Active,,"This is a public notice prepared in accordance with Federal Acquisition Regulation (FAR) 5.2 – Synopsis of Proposed Contract Actions. The Library of Congress, Contracts and Grants Directorate, intends to award a sole-source firm fixe",https://sam.gov/opp/37c7b191e0c14b64877422f30ea198f5/view,,
Veterans Affairs Rapid Mailers (A-1),UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Award Notice,VeteransAffairsRapidMailers(A-1)3023S(2026),2026-02-25,,Inactive,,This is the award information for Program 3023S.,https://sam.gov/opp/9d1a35ba5807449887f32040cebc0d8e/view,"NPC, INC.",
Broad Agency Announcement - Innovator In Residence Program,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV26R0021,2026-02-24,2026-04-10,Active,,"The Library of Congress is the largest library in the world, with millions of books, recordings, photographs, newspapers, maps and manuscripts in its collections. One of the missions of Library of Congress’ Labs (Labs) at the Library",https://sam.gov/opp/4b4c8590ebbf448bb083112cf1540aad/view,,
"RFQ: Currency Reader Information Management System (CRIMS) Support, Enhancements, and Upgrades",LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Award Notice,LCNLS26P0002,2026-02-24,,Inactive,,,https://sam.gov/opp/33dbf6e89ce44a24adc20eb2c7f732bc/view,SAJ TECHNOLOGIES LLC,
"RFQ: Currency Reader Information Management System (CRIMS) Support, Enhancements, and Upgrades",LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Solicitation,030ADV26Q0024,2026-02-24,2025-12-27,Inactive,,"Amendment 0002 - 12/16/2025 The purpose of Amendment 0002 is to provide answers to questions asked during the question period. The Library's Questions and Answers are incorporated into Section J. Additionally, Attach J",https://sam.gov/opp/9fb16f3c758c40baa741afe243281e8a/view,,
Litigation and Non-Litigation Scanning and Copying,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,LitigationandNon-LitigationScanningandCopying2810S(2026),2026-02-24,2026-04-02,Active,,"These specifications cover reproducing/scanning black and full color litigation and non-litigation documents; requiring such operations as disassembly, scanning/conversion, or copying/reproduction, indexing/bates numbering (electronic), metadata,",https://sam.gov/opp/da811e19cc464fc58fbf73d5f66738e8/view,,
Library of Congress - NLS Multi-State Centers (East and West),LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Award Notice,LCNLS26C0002,2026-02-24,,Inactive,,"A public competition was held for these services under the solicitation referenced herein. It was a full and open competition and two awards were made as a result of one solicitation: one award for the MSC West (this notice), and a second for MSC",https://sam.gov/opp/dd42933b858e455eb2ac7ef607621381/view,UTAH STATE GOVERNMENT LIBRARY DIVISION UTAH STATE LIBRARY,
Library of Congress - NLS Multi-State Centers (East and West),LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Award Notice,LCNLS26C0001,2026-02-24,,Inactive,,"A public competition was held for these services under the solicitation referenced herein. It was a full and open competition and two awards were made as a result of one solicitation: one award for the MSC East (this notice), and a second for MSC",https://sam.gov/opp/e95da6d8348a4cd08327f995281cfe18/view,CLOVERNOOK CENTER FOR THE BLIND & VISUALLY IMPAIRED,
TTS Magazine Subscription Pilot (Intent to Sole Source),LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Special Notice,2026-NLS-0111,2026-02-23,2026-03-13,Active,,"Notice: This is a sole source for commercial products and/or commercial services in accordance with FAR Part 13, Simplified Acquisition Procedures and FAR subpart 6.3, Other than Full and Open Competition. This Special Notice is issued as",https://sam.gov/opp/8e7665c8edd1437f9efff29303b9f72f/view,,
Form I-94,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,FormI-941983S(2026),2026-02-23,2026-03-19,Active,,"These specifications cover the production of Form I-94 Arrival Departure Record requiring such operations as printing in multiple languages, serial numbering (no missing, duplicated or out of sequence numbers), perforating, shrink wrapping, packin",https://sam.gov/opp/79a50ae24dd5400f8d8ace03a64a8f36/view,,
LED Ceiling Light Fixtures,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Combined Synopsis/Solicitation,040ADV-26-Q-0019,2026-02-19,2026-03-05,Active,,"This requirement is to procure 400 - 2' x 4' Shark 50W LED light fixtures and 400- 2' x 2' LED flat panel light fixtures which are currently being used throughout all GPO buildings at the Main Campus in Washington, D.C.",https://sam.gov/opp/f47a716db9934c57a948dffd6bcfe4b0/view,,
Renovation and Construction Work for the Government Publishing Office Building in Washington DC.,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Presolicitation,040ADV-26-R-0016,2026-02-19,2026-02-18,Inactive,,"The purpose of this pre‑solicitation notice is to inform interested vendors of an upcoming solicitation anticipated for release on or about March 9, 2026. No response is required or requested at this time. The forthcoming solicitation will",https://sam.gov/opp/0c81b4edb6674f2ea35ea10aa443209c/view,,
VA Certificates,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,VACertificates713s(2026),2026-02-18,2026-03-02,Inactive,,"These specifications cover the production of certificates, inserts, and mailing envelopes which require such operations as electronic prepress, printing/imaging, binding, construction, packing, and distribution. Complete specifications may",https://sam.gov/opp/07d899a93c394b0db991ebd76d1e9897/view,,
Social Security Card Envelopes,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,PROGRAM228S(2026),2026-02-18,2026-03-05,Active,,"These specifications cover the production of envelopes requiring such operations as composition, electronic prepress, printing, construction, packing, and distribution. Complete specifications may be found at: https://www.gpo.go",https://sam.gov/opp/b45295e7cc1a406280b7775b1559d24b/view,,
Pressure Sensitive Inspection Labels,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,PROGRAM841S(2026),2026-02-18,2026-03-06,Active,,"These specifications cover the production of labels requiring such operations as printing, construction, packing, and distribution. Complete specifications may be found at: https://www.gpo.gov/how-to-work-with-us/vendors/contrac",https://sam.gov/opp/81f8a3f3ed2a453eb841651ff5ffa39b/view,,
Notice of Sole Source - 2026 ALA Annual Conference Space Rental,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Justification,LCLBN26P0001,2026-02-18,,Active,,"This is a public notice prepared in accordance with Federal Acquisition Regulation (FAR) 5.2 – Synopsis of Proposed Contract Actions. The Library of Congress, Contracts and Grants Directorate, has awarded a sole-source firm fi",https://sam.gov/opp/cb25546a10c342c1b19da558457798e9/view,,
